run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
4,coarse,32,1024,read_snap_short,392847,1437
4,coarse,32,1024,write_heavy,413920,3785
4,coarse,32,1024,write_snap_long,390087,1436
4,coarse,32,16384,read_heavy,21732,132
4,coarse,32,16384,read_snap_short,21782,262
4,coarse,32,16384,write_heavy,21527,276
4,coarse,32,16384,write_snap_long,19778,107
4,coarse,48,1024,read_heavy,335916,3184
4,coarse,48,1024,read_snap_short,359435,25731
4,coarse,48,1024,write_heavy,442232,5284
4,coarse,48,1024,write_snap_long,398955,922
4,coarse,48,16384,read_heavy,31153,17117
4,coarse,48,16384,read_snap_short,21167,128
4,coarse,48,16384,write_heavy,20705,215
4,coarse,48,16384,write_snap_long,19324,431
4,coarse,64,1024,read_heavy,320289,7278
4,coarse,64,1024,read_snap_short,318259,4544
4,coarse,64,1024,write_heavy,387225,5191
4,coarse,64,1024,write_snap_long,360600,4234
